id,name,type,declared_mb,actual_mb,duration_sec,mbps,has_drive,has_final_cut,classification
af640dd1-6308-49fc-af67-94e1f3bea89b,"JOINED-OSO-ERIC-GOOGLERANKINGFOR-T01.mp4",Joined,66.9,2.14,37,0.5,false,false,BROKEN_PLACEHOLDER
67301d93-d9ff-4a09-86ad-c1745d37d03a,"JOINED-OSO-ERIC-GOOGLERANKINGRES-T03.mp4",Joined,64.2,2.06,36,0.5,false,false,BROKEN_PLACEHOLDER
25cc2545-7ff2-4772-b771-58052537ab60,"JOINED-OSO-ADAM-GOOGLERANKINGRES-T01.mp4",Joined,63.7,2.15,35,0.5,false,false,BROKEN_PLACEHOLDER
36c26dad-5c8c-4193-9800-8348ee1e01a2,"JOINED-OSO-ADAM-GOOGLERANKINGRES-T02.mp4",Joined,60.1,2.05,35,0.5,false,false,BROKEN_PLACEHOLDER
b1eba840-717d-487b-a0c0-674f0167846e,"JOINED-OSO-ERIC-GOOGLERANKINGFOR-T02.mp4",Joined,71.9,1.99,40,0.4,false,false,BROKEN_PLACEHOLDER
483c4c5d-04cf-455f-be3b-b8d2e17aeccf,"JOINED-NATALIE-ERIC-GOOGLERANKINGGUA-T01.mp4",Joined,72.6,1.70,41,0.3,false,false,BROKEN_PLACEHOLDER
a5527642-1610-4fce-aa2a-1fa8a2599e8f,"JOINED-NATALIE-ERIC-GOOGLERANKINGSIG-T01.mp4",Joined,69.6,1.61,39,0.3,false,false,BROKEN_PLACEHOLDER
58feb157-02f2-416e-8f56-3b4734739a35,"JOINED-NATALIE-ADAM-GOOGLERANKINGGUA-T01.mp4",Joined,68.1,1.69,38,0.4,false,false,BROKEN_PLACEHOLDER
c5fd61d4-3019-46b8-b7eb-6a98cd5993bf,"JOINED-NATALIE-ADAM-GOOGLERANKINGRES-T02.mp4",Joined,64.8,1.59,38,0.4,false,false,BROKEN_PLACEHOLDER
638fe4c8-3db2-4588-b1bc-247bd5199b66,"JOINED-NATALIE-ERIC-GOOGLERANKINGRES-T01.mp4",Joined,72.7,1.63,41,0.3,false,false,BROKEN_PLACEHOLDER
96c61afd-958a-4257-b0af-378e79651645,"JOINED-NATALIE-ERIC-GOOGLERANKINGGUA-T03.mp4",Joined,69.8,1.60,41,0.3,false,false,BROKEN_PLACEHOLDER
a0e99d56-abdc-4538-84b3-4913ee4a1f89,"JOINED-NATALIE-ADAM-GOOGLERANKINGRES-T01.mp4",Joined,68.4,1.66,38,0.4,false,false,BROKEN_PLACEHOLDER
d17ce285-69cc-45e7-a90a-c501b108ecf3,"JOINED-NATALIE-ADAM-GOOGLERANKINGRES-T03.mp4",Joined,65.2,1.54,37,0.3,false,false,BROKEN_PLACEHOLDER
7b8c47e7-28a6-492f-88ac-508c811bdda6,"JOINED-NATALIE-ERIC-GOOGLERANKINGGUA-T02.mp4",Joined,77.8,1.62,44,0.3,false,false,BROKEN_PLACEHOLDER
7cc29c2d-b0a2-44c7-a040-c9f6e8113e90,"JOINED-AIRESTO-ERIC-GOOGLEDIRECTCALL-T01.mp4",Joined,61.6,1.23,35,0.3,false,false,BROKEN_PLACEHOLDER
6c3fe658-f641-4096-ae5b-52de78b55e6a,"FULL-UNK-STOPADVERTISINGR-T01.mp4",Full Video,188.9,3.22,99,0.3,false,false,SUB_PAR
46fa9c46-78eb-4d85-b774-60172860ddc0,"FULL-JARED-STOPPAIDADSRESTO-T01.mp4",Full Video,0,4.22,89,0.4,false,false,SUB_PAR
330a52eb-adf5-43a8-b54d-02a98d1f4e46,"HOOK-OSO-AGENCYVANITYMETR-T01.mp4",Hook,0,18.81,14,11.3,false,false,OK
b154672f-d46e-409d-95c9-3c30a12656a3,"HOOK-OSO-IDLECREWDOWNTIME-T01.mp4",Hook,0,25.29,14,15.2,false,false,OK
e1dbd0b7-9361-4d39-99e3-39cc479054eb,"HOOK-OSO-LEADQUALITYPROBL-T01.mp4",Hook,0,16.44,13,10.6,false,false,OK
59c5fa62-b30e-44b7-acef-97aeebc58fc6,"HOOK-OSO-GOOGLEADSWASTE-T01.mp4",Hook,0,0.49,14,0.3,false,false,BROKEN_PLACEHOLDER
8aec7a81-548c-4e14-ac60-2c0eeca2fc0b,"HOOK-OSO-UNRELIABLEREFERR-T01.mp4",Hook,0,17.15,11,13.1,false,false,OK
bfa99de3-b9a4-414c-b2c5-a2c1e0821ab9,"RAW-OSO-PLUMBINGLEADGENE-T01.mp4",Hook,97.8,5.56,,,true,false,SUB_PAR
d8c23965-a546-48b8-83a8-ab813d923106,"RAW-OSO-GOOGLERANKINGLEA-T01.mp4",Body,622.8,9.46,,,false,false,SUB_PAR
d2688b1f-11b2-4c13-8db2-1e80f7f7e0f9,"RAW-OSO-CRMLEADMANAGEMEN-T02.mp4",Hook,54.7,2.75,,,true,false,BROKEN_PLACEHOLDER
1154451d-3914-4d86-a2f4-47f0b96ddf64,"RAW-OSO-PRODUCTIONSCALIN-T01.mp4",Hook,46.5,2.57,,,true,false,BROKEN_PLACEHOLDER
9ca6044b-56ca-473b-911e-bac9ddbb2218,"RAW-OSO-WATERDAMAGELEADS-T01.mp4",Body,121.7,6.32,,,true,false,SUB_PAR
8479d20c-a403-4ba8-85d2-57f098d5735c,"RAW-OSO-GOOGLERESTORATIO-T01.mp4",Body,774.5,45.80,,,true,false,SUB_PAR
85932776-b47a-43ba-bb37-5cc37a6c17c6,"RAW-OSO-UNCLEARFRAGMENT-T01.mp4",Hook,9.9,0.71,,,true,false,BROKEN_PLACEHOLDER
